short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"PAROLLES, a follower of Bertram."
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Several young French Lords, that serve with Bertram in the Florentine"
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,War.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"RYNALDO, servant to the Countess of Rossillon."
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Clown, servant to the Countess of Rossillon."
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"A Page, servant to the Countess of Rossillon."
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"COUNTESS OF ROSSILLON, mother to Bertram."
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"HELENA, a Gentlewoman protected by the Countess."
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,An old WIDOW of Florence.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"DIANA, daughter to the Widow."
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"VIOLENTA, neighbour and friend to the Widow."
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"MARIANA, neighbour and friend to the Widow."
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Lords attending on the KING; Officers; Soldiers, &c., French and"
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,Florentine.
