play,character
comedy_of_errors_tokens,ANTIPHOLUS OF SYRACUSE
comedy_of_errors_tokens,BALTHASAR
comedy_of_errors_tokens,COURTESAN
comedy_of_errors_tokens,DROMIO OF EPHESUS
comedy_of_errors_tokens,DROMIO OF SYRACUSE
comedy_of_errors_tokens,DUKE
comedy_of_errors_tokens,EGEON
comedy_of_errors_tokens,JAILER
comedy_of_errors_tokens,LUCE
comedy_of_errors_tokens,LUCIANA
comedy_of_errors_tokens,MERCHANT
comedy_of_errors_tokens,MESSENGER
comedy_of_errors_tokens,OFFICER
comedy_of_errors_tokens,PINCH
coriolanus_tokens,AEDILE
coriolanus_tokens,AEDILES
coriolanus_tokens,AUFIDIUS
coriolanus_tokens,BRUTUS
coriolanus_tokens,CITIZEN
coriolanus_tokens,CITIZENS
coriolanus_tokens,COMINIUS
coriolanus_tokens,CORIOLANUS
coriolanus_tokens,FIFTH CITIZEN
coriolanus_tokens,FIRST
coriolanus_tokens,FIRST CITIZEN
coriolanus_tokens,FIRST CONSPIRATOR
coriolanus_tokens,FIRST LORD
coriolanus_tokens,FIRST OFFICER
coriolanus_tokens,FIRST PATRICIAN
coriolanus_tokens,FIRST ROMAN
coriolanus_tokens,FIRST SENATOR
coriolanus_tokens,FIRST SERVINGMAN
coriolanus_tokens,FIRST SOLDIER
coriolanus_tokens,FIRST WATCH
coriolanus_tokens,FOURTH CITIZEN
coriolanus_tokens,GENTLEWOMAN
coriolanus_tokens,HERALD
coriolanus_tokens,LARTIUS
coriolanus_tokens,LIEUTENANT
coriolanus_tokens,LORDS
coriolanus_tokens,MARTIUS
coriolanus_tokens,MENENIUS
coriolanus_tokens,MESSENGER
coriolanus_tokens,OFFICER
coriolanus_tokens,PATRICIAN
coriolanus_tokens,ROMAN
coriolanus_tokens,SECOND CITIZEN
coriolanus_tokens,SECOND CONSPIRATOR
coriolanus_tokens,SECOND LORD
coriolanus_tokens,SECOND MESSENGER
coriolanus_tokens,SECOND OFFICER
coriolanus_tokens,SECOND ROMAN
coriolanus_tokens,SECOND SENATOR
coriolanus_tokens,SECOND SERVINGMAN
coriolanus_tokens,SECOND SOLDIER
coriolanus_tokens,SECOND WATCH
coriolanus_tokens,SENATOR
coriolanus_tokens,SENATORS
coriolanus_tokens,SEVENTH CITIZEN
coriolanus_tokens,SICINIUS
coriolanus_tokens,SIXTH CITIZEN
coriolanus_tokens,SOLDIER
coriolanus_tokens,THIRD CITIZEN
coriolanus_tokens,THIRD CONSPIRATOR
coriolanus_tokens,THIRD LORD
coriolanus_tokens,THIRD ROMAN
coriolanus_tokens,THIRD SERVINGMAN
coriolanus_tokens,TITUS LARTIUS
coriolanus_tokens,TRIBUNES
coriolanus_tokens,VALERIA
coriolanus_tokens,VIRGILIA
coriolanus_tokens,VOLSCE
coriolanus_tokens,VOLUMNIA
coriolanus_tokens,YOUNG MARTIUS
cymbeline_tokens,ARVIRAGUS
cymbeline_tokens,ATTENDANT
cymbeline_tokens,BELARIUS
cymbeline_tokens,BROTHERS
cymbeline_tokens,CAPTAIN
cymbeline_tokens,CLOTEN
cymbeline_tokens,CORNELIUS
cymbeline_tokens,CYMBELINE
cymbeline_tokens,FIRST BROTHER
cymbeline_tokens,FIRST CAPTAIN
cymbeline_tokens,FIRST GENTLEMAN
cymbeline_tokens,FIRST LORD
cymbeline_tokens,FIRST SENATOR
cymbeline_tokens,FRENCHMAN
cymbeline_tokens,GAOLER
cymbeline_tokens,GUIDERIUS
cymbeline_tokens,IACHIMO
cymbeline_tokens,IMOGEN
cymbeline_tokens,JUPITER
cymbeline_tokens,LADIES
cymbeline_tokens,LADY
cymbeline_tokens,LEONATUS
cymbeline_tokens,LEONATUS POSTHUMUS
cymbeline_tokens,LORD
cymbeline_tokens,LUCIUS
cymbeline_tokens,MESSENGER
cymbeline_tokens,MOTHER
cymbeline_tokens,PHILARIO
cymbeline_tokens,PISANIO
cymbeline_tokens,POSTHUMUS
cymbeline_tokens,QUEEN
cymbeline_tokens,SECOND BROTHER
cymbeline_tokens,SECOND CAPTAIN
cymbeline_tokens,SECOND GAOLER
cymbeline_tokens,SECOND GENTLEMAN
cymbeline_tokens,SECOND LORD
cymbeline_tokens,SECOND SENATOR
cymbeline_tokens,SICILIUS
cymbeline_tokens,SONG
cymbeline_tokens,SOOTHSAYER
cymbeline_tokens,TRIBUNE
hamlet_tokens,BARNARDO
hamlet_tokens,CAPTAIN
hamlet_tokens,CORNELIUS
hamlet_tokens,DANES
hamlet_tokens,FIRST AMBASSADOR
hamlet_tokens,FIRST CLOWN
hamlet_tokens,FIRST PLAYER
hamlet_tokens,FIRST SAILOR
hamlet_tokens,FORTINBRAS
hamlet_tokens,FRANCISCO
hamlet_tokens,GENTLEMAN
hamlet_tokens,GHOST
hamlet_tokens,GUILDENSTERN
hamlet_tokens,HAMLET
hamlet_tokens,HORATIO
hamlet_tokens,KING
hamlet_tokens,LAERTES
hamlet_tokens,LORD
hamlet_tokens,LORDS
hamlet_tokens,LUCIANUS
hamlet_tokens,MARCELLUS
hamlet_tokens,MESSENGER
hamlet_tokens,OPHELIA
hamlet_tokens,OSRIC
hamlet_tokens,PLAYER KING
hamlet_tokens,PLAYER QUEEN
hamlet_tokens,POLONIUS
hamlet_tokens,PRIEST
hamlet_tokens,PROLOGUE
hamlet_tokens,QUEEN
hamlet_tokens,REYNALDO
hamlet_tokens,ROSENCRANTZ
hamlet_tokens,SECOND CLOWN
hamlet_tokens,SERVANT
hamlet_tokens,VOLTEMAND
henry_iv_part_1_tokens,ARCHBISHOP
henry_iv_part_1_tokens,BARDOLPH
henry_iv_part_1_tokens,BLUNT
henry_iv_part_1_tokens,CARRIER
henry_iv_part_1_tokens,CHAMBERLAIN
henry_iv_part_1_tokens,DOUGLAS
henry_iv_part_1_tokens,FALSTAFF
henry_iv_part_1_tokens,FIRST CARRIER
henry_iv_part_1_tokens,FIRST TRAVELLER
henry_iv_part_1_tokens,FRANCIS
henry_iv_part_1_tokens,GADSHILL
henry_iv_part_1_tokens,GLENDOWER
henry_iv_part_1_tokens,HOSTESS
henry_iv_part_1_tokens,HOTSPUR
henry_iv_part_1_tokens,KING
henry_iv_part_1_tokens,LADY PERCY
henry_iv_part_1_tokens,LANCASTER
henry_iv_part_1_tokens,MESSENGER
henry_iv_part_1_tokens,MORTIMER
henry_iv_part_1_tokens,NORTHUMBERLAND
henry_iv_part_1_tokens,OSTLER
henry_iv_part_1_tokens,PETO
henry_iv_part_1_tokens,POINS
henry_iv_part_1_tokens,PRINCE
henry_iv_part_1_tokens,SECOND CARRIER
henry_iv_part_1_tokens,SECOND TRAVELLER
henry_iv_part_1_tokens,SERVANT
henry_iv_part_1_tokens,SHERIFF
henry_iv_part_1_tokens,SIR MICHAEL
henry_iv_part_1_tokens,THIEVES
henry_iv_part_1_tokens,VERNON
henry_iv_part_1_tokens,VINTNER
henry_iv_part_1_tokens,WESTMORELAND
henry_iv_part_1_tokens,WORCESTER
henry_iv_part_2_tokens,ARCHBISHOP
henry_iv_part_2_tokens,BARDOLPH
henry_iv_part_2_tokens,BULLCALF
henry_iv_part_2_tokens,CHIEF JUSTICE
henry_iv_part_2_tokens,CLARENCE
henry_iv_part_2_tokens,COLEVILE
henry_iv_part_2_tokens,DAVY
henry_iv_part_2_tokens,DOLL
henry_iv_part_2_tokens,EPILOGUE
henry_iv_part_2_tokens,FALSTAFF
henry_iv_part_2_tokens,FANG
henry_iv_part_2_tokens,FEEBLE
henry_iv_part_2_tokens,FIRST BEADLE
henry_iv_part_2_tokens,FIRST DRAWER
henry_iv_part_2_tokens,FIRST GROOM
henry_iv_part_2_tokens,GLOUCESTER
henry_iv_part_2_tokens,GOWER
henry_iv_part_2_tokens,HARCOURT
henry_iv_part_2_tokens,HASTINGS
henry_iv_part_2_tokens,HOSTESS
henry_iv_part_2_tokens,KING
henry_iv_part_2_tokens,LADY NORTHUMBERLAND
henry_iv_part_2_tokens,LADY PERCY
henry_iv_part_2_tokens,LANCASTER
henry_iv_part_2_tokens,LORD BARDOLPH
henry_iv_part_2_tokens,MESSENGER
henry_iv_part_2_tokens,MORTON
henry_iv_part_2_tokens,MOULDY
henry_iv_part_2_tokens,MOWBRAY
henry_iv_part_2_tokens,NORTHUMBERLAND
henry_iv_part_2_tokens,PAGE
henry_iv_part_2_tokens,PETO
henry_iv_part_2_tokens,PISTOL
henry_iv_part_2_tokens,POINS
henry_iv_part_2_tokens,PORTER
henry_iv_part_2_tokens,PRINCE
henry_iv_part_2_tokens,PRINCES
henry_iv_part_2_tokens,SECOND DRAWER
henry_iv_part_2_tokens,SECOND GROOM
henry_iv_part_2_tokens,SERVANT
henry_iv_part_2_tokens,SHADOW
henry_iv_part_2_tokens,SHALLOW
henry_iv_part_2_tokens,SILENCE
henry_iv_part_2_tokens,SNARE
henry_iv_part_2_tokens,TRAVERS
henry_iv_part_2_tokens,WART
henry_iv_part_2_tokens,WARWICK
henry_iv_part_2_tokens,WESTMORELAND
henry_v_tokens,ALICE
henry_v_tokens,AMBASSADOR
henry_v_tokens,BARDOLPH
henry_v_tokens,BATES
henry_v_tokens,BEDFORD
henry_v_tokens,BOURBON
henry_v_tokens,BOY
henry_v_tokens,BURGUNDY
henry_v_tokens,CAMBRIDGE
henry_v_tokens,CANTERBURY
henry_v_tokens,CHORUS
henry_v_tokens,CONSTABLE
henry_v_tokens,COURT
henry_v_tokens,DAUPHIN
henry_v_tokens,ELY
henry_v_tokens,ERPINGHAM
henry_v_tokens,EXETER
henry_v_tokens,FIRST AMBASSADOR
henry_v_tokens,FLUELLEN
henry_v_tokens,FRENCH KING
henry_v_tokens,FRENCH SOLDIER
henry_v_tokens,GLOUCESTER
henry_v_tokens,GOVERNOR
henry_v_tokens,GOWER
henry_v_tokens,GREY
henry_v_tokens,HERALD
henry_v_tokens,HOSTESS
henry_v_tokens,JAMY
henry_v_tokens,KATHARINE
henry_v_tokens,KING
henry_v_tokens,KING HENRY
henry_v_tokens,LORDS
henry_v_tokens,MACMORRIS
henry_v_tokens,MESSENGER
henry_v_tokens,MONTJOY
henry_v_tokens,NYM
henry_v_tokens,ORLEANS
henry_v_tokens,PISTOL
henry_v_tokens,QUEEN ISABEL
henry_v_tokens,RAMBURES
henry_v_tokens,SALISBURY
henry_v_tokens,SCROOP
henry_v_tokens,WARWICK
henry_v_tokens,WESTMORLAND
henry_v_tokens,WILLIAMS
henry_v_tokens,YORK
henry_vi_part_1_tokens,BASSET
henry_vi_part_1_tokens,BASTARD
henry_vi_part_1_tokens,BEDFORD
henry_vi_part_1_tokens,BOY
henry_vi_part_1_tokens,BURGUNDY
henry_vi_part_1_tokens,CAPTAIN
henry_vi_part_1_tokens,CHARLES
henry_vi_part_1_tokens,COUNTESS
henry_vi_part_1_tokens,EXETER
henry_vi_part_1_tokens,FASTOLF
henry_vi_part_1_tokens,FIRST JAILER
henry_vi_part_1_tokens,FIRST SENTINEL
henry_vi_part_1_tokens,FIRST SERVINGMAN
henry_vi_part_1_tokens,FIRST SOLDIER
henry_vi_part_1_tokens,FIRST WARDER
henry_vi_part_1_tokens,GARGRAVE
henry_vi_part_1_tokens,GENERAL
henry_vi_part_1_tokens,GLANSDALE
henry_vi_part_1_tokens,GLOUCESTER
henry_vi_part_1_tokens,JOHN TALBOT
henry_vi_part_1_tokens,KING HENRY
henry_vi_part_1_tokens,LAWYER
henry_vi_part_1_tokens,LEGATE
henry_vi_part_1_tokens,LUCY
henry_vi_part_1_tokens,MARGARET
henry_vi_part_1_tokens,MASTER GUNNER
henry_vi_part_1_tokens,MAYOR
henry_vi_part_1_tokens,MESSENGER
henry_vi_part_1_tokens,MORTIMER
henry_vi_part_1_tokens,OFFICER
henry_vi_part_1_tokens,PLANTAGENET
henry_vi_part_1_tokens,PORTER
henry_vi_part_1_tokens,PUCELLE
henry_vi_part_1_tokens,REIGNIER
henry_vi_part_1_tokens,SALISBURY
henry_vi_part_1_tokens,SCOUT
henry_vi_part_1_tokens,SECOND SERVINGMAN
henry_vi_part_1_tokens,SECOND WARDER
henry_vi_part_1_tokens,SENTINEL
henry_vi_part_1_tokens,SERGEANT
henry_vi_part_1_tokens,SERVANT
henry_vi_part_1_tokens,SERVINGMEN
henry_vi_part_1_tokens,SHEPHERD
henry_vi_part_1_tokens,SOLDIER
henry_vi_part_1_tokens,SOMERSET
henry_vi_part_1_tokens,SUFFOLK
henry_vi_part_1_tokens,TALBOT
henry_vi_part_1_tokens,THIRD SERVINGMAN
henry_vi_part_1_tokens,VERNON
henry_vi_part_1_tokens,WARWICK
henry_vi_part_1_tokens,WATCH
henry_vi_part_1_tokens,WINCHESTER
henry_vi_part_1_tokens,WOODVILLE
henry_vi_part_1_tokens,YORK
henry_vi_part_2_tokens,BEADLE
henry_vi_part_2_tokens,BEVIS
henry_vi_part_2_tokens,BOLINGBROKE
henry_vi_part_2_tokens,BROTHER
henry_vi_part_2_tokens,BUCKINGHAM
henry_vi_part_2_tokens,CADE
henry_vi_part_2_tokens,CARDINAL
henry_vi_part_2_tokens,CLERK
henry_vi_part_2_tokens,COMMONS
henry_vi_part_2_tokens,DICK
henry_vi_part_2_tokens,ELEANOR
henry_vi_part_2_tokens,GLOUCESTER
henry_vi_part_2_tokens,HERALD
