category,name,description,tokens,unique_words,plays,filepath
by_play,merry_wives_of_windsor,Merry Wives of Windsor - dialogue and directions,22179,3246,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/merry_wives_of_windsor.csv
by_play,merry_wives_of_windsor_filtered,"Merry Wives of Windsor - dialogue and directions, no stop words",8108,2846,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/merry_wives_of_windsor_filtered.csv
by_play,henry_iv_part_2,"Henry IV, Part 2 - dialogue and directions",26141,4074,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_iv_part_2.csv
by_play,henry_iv_part_2_filtered,"Henry IV, Part 2 - dialogue and directions, no stop words",9493,3644,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_iv_part_2_filtered.csv
by_play,much_ado_about_nothing,Much Ado about Nothing - dialogue and directions,21268,2973,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/much_ado_about_nothing.csv
by_play,much_ado_about_nothing_filtered,"Much Ado about Nothing - dialogue and directions, no stop words",6984,2569,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/much_ado_about_nothing_filtered.csv
by_play,henry_v,Henry V - dialogue and directions,25993,4494,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_v.csv
by_play,henry_v_filtered,"Henry V - dialogue and directions, no stop words",10123,4071,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_v_filtered.csv
by_play,julius_caesar,Julius Caesar - dialogue and directions,19789,2902,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/julius_caesar.csv
by_play,julius_caesar_filtered,"Julius Caesar - dialogue and directions, no stop words",6947,2500,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/julius_caesar_filtered.csv
by_play,as_you_like_it,As You Like It - dialogue and directions,21886,3240,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/as_you_like_it.csv
by_play,as_you_like_it_filtered,"As You Like It - dialogue and directions, no stop words",7260,2829,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/as_you_like_it_filtered.csv
by_play,hamlet,Hamlet - dialogue and directions,30518,4755,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/hamlet.csv
by_play,hamlet_filtered,"Hamlet - dialogue and directions, no stop words",10938,4320,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/hamlet_filtered.csv
by_play,twelfth_night,Twelfth Night - dialogue and directions,19945,3119,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/twelfth_night.csv
by_play,twelfth_night_filtered,"Twelfth Night - dialogue and directions, no stop words",6805,2722,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/twelfth_night_filtered.csv
by_play,troilus_and_cressida,Troilus and Cressida - dialogue and directions,25994,4201,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/troilus_and_cressida.csv
by_play,troilus_and_cressida_filtered,"Troilus and Cressida - dialogue and directions, no stop words",9996,3785,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/troilus_and_cressida_filtered.csv
by_play,all_s_well_that_ends_well,All's Well That Ends Well - dialogue and directions,23096,3534,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/all_s_well_that_ends_well.csv
